FECHA,VALOR,PUNTO_MUESTREO,LONGITUD,LATITUD
2005-01,95.61290322580645,28079004,-3.712222,40.424167
2005-01,57.516129032258064,28079040,-3.651389,40.388056
2005-01,87.87096774193549,28079039,-3.711389,40.478333
2005-01,95.7741935483871,28079038,-3.706389,40.445278
2005-01,71.96774193548387,28079035,-3.703333,40.419167
2005-01,70.29032258064517,28079027,-3.575,40.474722
2005-01,66.83870967741936,28079036,-3.645278,40.408056
2005-01,78.41935483870968,28079018,-3.731944,40.394722
2005-01,97.58064516129032,28079017,-3.705,40.346944
2005-01,61.32258064516129,28079016,-3.639167,40.44
2005-01,76.7741935483871,28079011,-3.677222,40.451667
2005-01,89.90322580645162,28079008,-3.682222,40.421667
2005-01,53.29032258064516,28079024,-3.749167,40.42
2005-02,68.5,28079035,-3.703333,40.419167
2005-02,45.035714285714285,28079040,-3.651389,40.388056
2005-02,60.17857142857143,28079039,-3.711389,40.478333
2005-02,77.03571428571429,28079038,-3.706389,40.445278
2005-02,57.57142857142857,28079036,-3.645278,40.408056
2005-02,56.464285714285715,28079027,-3.575,40.474722
2005-02,59.285714285714285,28079011,-3.677222,40.451667
2005-02,61.392857142857146,28079018,-3.731944,40.394722
2005-02,71.53571428571429,28079017,-3.705,40.346944
2005-02,54.32142857142857,28079016,-3.639167,40.44
2005-02,79.67857142857143,28079008,-3.682222,40.421667
2005-02,61.785714285714285,28079004,-3.712222,40.424167
2005-02,35.214285714285715,28079024,-3.749167,40.42
2005-03,58.03225806451613,28079027,-3.575,40.474722
2005-03,40.41935483870968,28079040,-3.651389,40.388056
2005-03,61.25806451612903,28079039,-3.711389,40.478333
2005-03,69.64516129032258,28079038,-3.706389,40.445278
2005-03,58.96774193548387,28079035,-3.703333,40.419167
2005-03,36.354838709677416,28079024,-3.749167,40.42
2005-03,55.096774193548384,28079036,-3.645278,40.408056
2005-03,61.96774193548387,28079017,-3.705,40.346944
2005-03,48.29032258064516,28079016,-3.639167,40.44
2005-03,54.0,28079018,-3.731944,40.394722
2005-03,50.935483870967744,28079011,-3.677222,40.451667
2005-03,75.03225806451613,28079008,-3.682222,40.421667
2005-03,54.903225806451616,28079004,-3.712222,40.424167
2005-04,51.13333333333333,28079039,-3.711389,40.478333
2005-04,61.6,28079038,-3.706389,40.445278
2005-04,44.53333333333333,28079036,-3.645278,40.408056
2005-04,50.9,28079035,-3.703333,40.419167
2005-04,39.733333333333334,28079027,-3.575,40.474722
2005-04,23.8,28079024,-3.749167,40.42
2005-04,31.966666666666665,28079040,-3.651389,40.388056
2005-04,46.93333333333333,28079017,-3.705,40.346944
2005-04,40.06666666666667,28079016,-3.639167,40.44
2005-04,50.46666666666667,28079011,-3.677222,40.451667
2005-04,69.96666666666667,28079008,-3.682222,40.421667
2005-04,53.53333333333333,28079004,-3.712222,40.424167
2005-04,37.63333333333333,28079018,-3.731944,40.394722
2005-05,29.516129032258064,28079040,-3.651389,40.388056
2005-05,48.74193548387097,28079039,-3.711389,40.478333
2005-05,61.74193548387097,28079038,-3.706389,40.445278
2005-05,45.096774193548384,28079036,-3.645278,40.408056
2005-05,27.258064516129032,28079035,-3.703333,40.419167
2005-05,40.096774193548384,28079027,-3.575,40.474722
2005-05,21.612903225806452,28079024,-3.749167,40.42
