FECHA,VALOR,PUNTO_MUESTREO,LONGITUD,LATITUD
2019-01,61.12903225806452,28079004,-3.712222,40.424167
2019-01,42.03225806451613,28079060,-3.689722,40.500556
2019-01,39.064516129032256,28079059,-3.608889,40.465
2019-01,24.774193548387096,28079058,-3.774444,40.518056
2019-01,53.96774193548387,28079057,-3.660278,40.494167
2019-01,77.48387096774194,28079056,-3.718611,40.384722
2019-01,63.54838709677419,28079055,-3.580556,40.4625
2019-01,57.74193548387097,28079050,-3.688333,40.465833
2019-01,45.58064516129032,28079049,-3.685556,40.409722
2019-01,55.70967741935484,28079048,-3.690278,40.439722
2019-01,53.54838709677419,28079047,-3.686667,40.398056
2019-01,58.96774193548387,28079040,-3.651389,40.388056
2019-01,60.774193548387096,28079054,-3.611944,40.372778
2019-01,62.193548387096776,28079038,-3.706389,40.445278
2019-01,58.87096774193548,28079036,-3.645278,40.408056
2019-01,54.54838709677419,28079035,-3.703333,40.419167
2019-01,47.58064516129032,28079027,-3.575,40.474722
2019-01,37.516129032258064,28079024,-3.749167,40.42
2019-01,55.16129032258065,28079018,-3.731944,40.394722
2019-01,65.96774193548387,28079017,-3.705,40.346944
2019-01,54.38709677419355,28079016,-3.639167,40.44
2019-01,58.516129032258064,28079011,-3.677222,40.451667
2019-01,74.51612903225806,28079008,-3.682222,40.421667
2019-01,63.354838709677416,28079039,-3.711389,40.478333
2019-02,57.17857142857143,28079048,-3.690278,40.439722
2019-02,42.035714285714285,28079049,-3.685556,40.409722
2019-02,56.214285714285715,28079050,-3.688333,40.465833
2019-02,59.32142857142857,28079054,-3.611944,40.372778
2019-02,61.75,28079055,-3.580556,40.4625
2019-02,44.75,28079060,-3.689722,40.500556
2019-02,52.32142857142857,28079057,-3.660278,40.494167
2019-02,24.071428571428573,28079058,-3.774444,40.518056
2019-02,40.964285714285715,28079059,-3.608889,40.465
2019-02,52.57142857142857,28079047,-3.686667,40.398056
2019-02,82.42857142857143,28079056,-3.718611,40.384722
2019-02,57.357142857142854,28079040,-3.651389,40.388056
2019-02,54.82142857142857,28079018,-3.731944,40.394722
2019-02,59.357142857142854,28079038,-3.706389,40.445278
2019-02,62.214285714285715,28079039,-3.711389,40.478333
2019-02,77.07142857142857,28079008,-3.682222,40.421667
2019-02,59.57142857142857,28079011,-3.677222,40.451667
2019-02,56.892857142857146,28079016,-3.639167,40.44
2019-02,70.14285714285714,28079017,-3.705,40.346944
2019-02,62.0,28079004,-3.712222,40.424167
2019-02,38.464285714285715,28079024,-3.749167,40.42
2019-02,48.214285714285715,28079027,-3.575,40.474722
2019-02,51.857142857142854,28079035,-3.703333,40.419167
2019-02,58.67857142857143,28079036,-3.645278,40.408056
2019-03,25.129032258064516,28079060,-3.689722,40.500556
2019-03,25.322580645161292,28079059,-3.608889,40.465
2019-03,15.483870967741936,28079058,-3.774444,40.518056
2019-03,31.29032258064516,28079057,-3.660278,40.494167
