FECHA,VALOR,PUNTO_MUESTREO,LONGITUD,LATITUD
2017-01,57.225806451612904,28079004,-3.712222,40.424167
2017-01,55.225806451612904,28079060,-3.689722,40.500556
2017-01,28.322580645161292,28079059,-3.608889,40.465
2017-01,27.870967741935484,28079058,-3.774444,40.518056
2017-01,50.29032258064516,28079057,-3.660278,40.494167
2017-01,69.38709677419355,28079056,-3.718611,40.384722
2017-01,57.064516129032256,28079055,-3.580556,40.4625
2017-01,55.193548387096776,28079050,-3.688333,40.465833
2017-01,45.96774193548387,28079049,-3.685556,40.409722
2017-01,49.29032258064516,28079048,-3.690278,40.439722
2017-01,59.903225806451616,28079047,-3.686667,40.398056
2017-01,57.03225806451613,28079040,-3.651389,40.388056
2017-01,49.0,28079054,-3.611944,40.372778
2017-01,59.903225806451616,28079038,-3.706389,40.445278
2017-01,54.225806451612904,28079036,-3.645278,40.408056
2017-01,60.16129032258065,28079035,-3.703333,40.419167
2017-01,51.096774193548384,28079027,-3.575,40.474722
2017-01,33.83870967741935,28079024,-3.749167,40.42
2017-01,56.16129032258065,28079018,-3.731944,40.394722
2017-01,66.93548387096774,28079017,-3.705,40.346944
2017-01,52.54838709677419,28079016,-3.639167,40.44
2017-01,55.29032258064516,28079011,-3.677222,40.451667
2017-01,69.38709677419355,28079008,-3.682222,40.421667
2017-01,55.58064516129032,28079039,-3.711389,40.478333
2017-02,41.42857142857143,28079048,-3.690278,40.439722
2017-02,35.035714285714285,28079049,-3.685556,40.409722
2017-02,44.035714285714285,28079050,-3.688333,40.465833
2017-02,36.142857142857146,28079054,-3.611944,40.372778
2017-02,50.035714285714285,28079055,-3.580556,40.4625
2017-02,39.32142857142857,28079060,-3.689722,40.500556
2017-02,36.964285714285715,28079057,-3.660278,40.494167
2017-02,17.25,28079058,-3.774444,40.518056
2017-02,32.07142857142857,28079059,-3.608889,40.465
2017-02,46.17857142857143,28079047,-3.686667,40.398056
2017-02,54.107142857142854,28079056,-3.718611,40.384722
2017-02,44.82142857142857,28079040,-3.651389,40.388056
2017-02,44.392857142857146,28079018,-3.731944,40.394722
2017-02,45.892857142857146,28079038,-3.706389,40.445278
2017-02,42.464285714285715,28079039,-3.711389,40.478333
2017-02,59.785714285714285,28079008,-3.682222,40.421667
2017-02,43.67857142857143,28079011,-3.677222,40.451667
2017-02,45.0,28079016,-3.639167,40.44
2017-02,49.357142857142854,28079017,-3.705,40.346944
2017-02,50.892857142857146,28079004,-3.712222,40.424167
2017-02,25.75,28079024,-3.749167,40.42
2017-02,40.392857142857146,28079027,-3.575,40.474722
2017-02,49.607142857142854,28079035,-3.703333,40.419167
2017-02,44.142857142857146,28079036,-3.645278,40.408056
2017-03,36.645161290322584,28079060,-3.689722,40.500556
2017-03,33.96774193548387,28079059,-3.608889,40.465
2017-03,15.096774193548388,28079058,-3.774444,40.518056
2017-03,35.74193548387097,28079057,-3.660278,40.494167
2017-03,49.58064516129032,28079056,-3.718611,40.384722
2017-03,50.096774193548384,28079055,-3.580556,40.4625
2017-03,41.516129032258064,28079050,-3.688333,40.465833
2017-03,31.451612903225808,28079049,-3.685556,40.409722
2017-03,41.774193548387096,28079048,-3.690278,40.439722
2017-03,42.58064516129032,28079047,-3.686667,40.398056
2017-03,44.483870967741936,28079040,-3.651389,40.388056
2017-03,37.25806451612903,28079054,-3.611944,40.372778
2017-03,43.58064516129032,28079038,-3.706389,40.445278
2017-03,61.645161290322584,28079008,-3.682222,40.421667
2017-03,43.354838709677416,28079011,-3.677222,40.451667
2017-03,43.32258064516129,28079016,-3.639167,40.44
2017-03,48.12903225806452,28079017,-3.705,40.346944
2017-03,41.0,28079018,-3.731944,40.394722
2017-03,45.45161290322581,28079004,-3.712222,40.424167
2017-03,22.161290322580644,28079024,-3.749167,40.42
2017-03,40.74193548387097,28079027,-3.575,40.474722
2017-03,46.645161290322584,28079035,-3.703333,40.419167
2017-03,43.03225806451613,28079036,-3.645278,40.408056
2017-03,42.38709677419355,28079039,-3.711389,40.478333
2017-04,33.2,28079047,-3.686667,40.398056
2017-04,20.166666666666668,28079059,-3.608889,40.465
2017-04,11.333333333333334,28079058,-3.774444,40.518056
2017-04,23.433333333333334,28079057,-3.660278,40.494167
2017-04,44.86666666666667,28079056,-3.718611,40.384722
2017-04,36.93333333333333,28079055,-3.580556,40.4625
2017-04,25.9,28079054,-3.611944,40.372778
2017-04,29.9,28079050,-3.688333,40.465833
2017-04,22.1,28079049,-3.685556,40.409722
2017-04,27.666666666666668,28079048,-3.690278,40.439722
2017-04,31.833333333333332,28079040,-3.651389,40.388056
2017-04,25.466666666666665,28079060,-3.689722,40.500556
2017-04,34.266666666666666,28079038,-3.706389,40.445278
2017-04,41.96666666666667,28079004,-3.712222,40.424167
2017-04,51.56666666666667,28079008,-3.682222,40.421667
2017-04,33.46666666666667,28079011,-3.677222,40.451667
2017-04,28.766666666666666,28079016,-3.639167,40.44
2017-04,31.3,28079017,-3.705,40.346944
2017-04,31.1,28079039,-3.711389,40.478333
2017-04,16.9,28079024,-3.749167,40.42
2017-04,28.533333333333335,28079027,-3.575,40.474722
2017-04,42.1,28079035,-3.703333,40.419167
2017-04,30.166666666666668,28079036,-3.645278,40.408056
2017-04,31.833333333333332,28079018,-3.731944,40.394722
2017-05,30.548387096774192,28079047,-3.686667,40.398056
2017-05,28.838709677419356,28079048,-3.690278,40.439722
2017-05,19.838709677419356,28079049,-3.685556,40.409722
2017-05,34.03225806451613,28079050,-3.688333,40.465833
2017-05,26.258064516129032,28079054,-3.611944,40.372778
2017-05,43.483870967741936,28079056,-3.718611,40.384722
2017-05,23.06451612903226,28079057,-3.660278,40.494167
2017-05,11.774193548387096,28079058,-3.774444,40.518056
2017-05,20.29032258064516,28079059,-3.608889,40.465
2017-05,32.064516129032256,28079040,-3.651389,40.388056
2017-05,35.903225806451616,28079055,-3.580556,40.4625
2017-05,23.258064516129032,28079060,-3.689722,40.500556
2017-05,30.29032258064516,28079039,-3.711389,40.478333
2017-05,31.516129032258064,28079036,-3.645278,40.408056
